,ND##length##millimeters,TLgt##length##millimeters,CtC##length##millimeters,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters
0.5,15,10.9,31.8,6.3,21.3,2.95,30.4
0.75,20,12.7,38.1,6.9,26.7,3.38,37
1,25,14.7,47.6,7.7,33.3,3.81,45
1.25,32,17,57.2,8.7,42.2,4.19,54.7
1.5,40,17.8,63.5,9.3,48.3,4.52,61.6
2,50,19.1,76.2,10.7,60.3,5.11,75.3
2.5,65,23.4,96.1,12.1,73,6.2,91.2
3,80,24.9,115.1,13.9,88.9,6.91,108.8
4,100,27.4,140.2,16.8,114.4,7.87,137.2
