,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters,HDia##length##millimeters,Lgt##length##millimeters
4,100,229,19,135,33
5,125,254,19,164,37
6,150,279,19,192,40
8,200,343,19,246,45
10,250,406,22.2,303,49
12,300,483,25.4,357,56
14,350,533,28.6,391,57
16,400,597,28.6,445,64
18,450,645,31.8,498,68
20,500,698,31.8,552,78
24,600,813,34.9,560,83
30,750,984,38.1,755,99
36,900,1168,41.3,894,115
42,1050,1346,44.5,1033,130
48,1200,1511,50.8,1172,145
54,1350,1683,57.2,1311,160
60,1500,1854,57.2,1450,175
72,1800,2197,63.5,1728,205
