,ND##length##inches,TLgt##length##millimeters,CtC##length##millimeters,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters
0.5,0.5,10.9,38.1,6.3,21.3,2.95,30.4
0.75,0.75,12.7,50.8,6.9,26.7,3.38,37
1,1,14.7,63.5,7.7,33.3,3.81,45
1.25,1.25,17,76.2,8.7,42.2,4.19,54.7
1.5,1.5,17.8,88.9,9.3,48.3,4.52,61.6
2,2,19.1,101.6,10.7,60.3,5.11,75.3
2.5,2.5,23.4,114.3,12.1,73,6.2,91.2
3,3,24.9,127,13.9,88.9,6.91,108.8
4,4,27.4,152.4,16.8,114.4,7.87,137.2
