,ND##length##millimeters,NOD##length##millimeters,WThk##length##millimeters,SWid##length##millimeters,Lgt##length##millimeters
25,25,32,2,25,52
32,32,40,2,25,52
40,40,50,2,25,52
65,65,75,2.3,40,82.5
100,100,110,3.2,55,114
150,150,160,4,58,119.5
200,200,200,4.9,69,142
250,250,250,6.2,79,162.5
