,ND##length##inches,FOD##length##millimeters,FThk##length##millimeters,RFD##length##millimeters
0.5,0.5,95,14.3,34.9
0.75,0.75,115,15.9,42.9
1,1,125,17.5,50.8
1.25,1.25,135,20.7,63.5
1.5,1.5,155,22.3,73
2,2,165,25.4,92.1
2.5,2.5,190,28.6,104.8
3,3,210,31.8,127
3.5,3.5,230,35,139.7
4,4,255,35,157.2
5,5,280,38.1,185.7
6,6,320,41.3,215.9
8,8,380,47.7,269.9
10,10,445,54,323.8
12,12,520,57.2,381
14,14,585,60.4,412.8
16,16,650,63.5,469.9
18,18,710,66.7,533.4
20,20,775,69.9,584.2
24,24,915,76.2,692.2
