,ND##length##inches,CtE##length##inches,SOD##length##inches
0.5,0.5,1.250,1.094
0.75,0.75,1.281,1.281
1,1,1.563,1.594
1.25,1.25,2.125,2.000
1.5,1.5,2.313,2.250
2,2,2.625,2.750
2.5,2.5,3.250,3.313
3,3,3.813,3.969
4,4,4.375,5.000
6,6,7.000,7.313
8,8,8.531,9.313
