,ND##length##millimeters,SED##length##inches,SDpt##length##inches,WThk##length##inches,FOD##length##inches,SBtSBR##length##inches,CtSBR##length##inches,CtSBB##length##inches
1.25,32,1.675,0.687,0.156,1.66,3.625,1.0625,2.5625
1.5,40,1.915,0.687,0.156,1.9,4,1.125,2.875
2,50,2.39,0.75,0.156,2.375,5,1.375,3.625
3,80,3.52,1.5,0.219,3.5,6.625,1.625,5
4,100,4.52,1.75,0.25,4.5,8.25,1.875,6.375
6,150,6.647,3,0.281,6.625,10.1875,1.75,8.4375
8,200,8.655,4,0.328,8.625,14.125,2.375,11.75
