,ND##length##millimeters,NOD##length##millimeters,SOD##length##millimeters,SWid##length##millimeters,CtE##length##millimeters
15,15,20,27,15,28
20,20,25,33.5,17,32
25,25,32,42,19,38
32,32,40,51.5,21,44
40,40,50,63.5,24,52
50,50,63,79,28,63
