,ND##length##inches,FDia##length##millimeters,FThk##length##millimeters,FID##length##millimeters,WThk##length##millimeters,CtF##length##millimeters
1,1,108,11.1,25,7.9,127
1.25,1.25,118,12.7,32,7.9,140
1.5,1.5,127,14.3,38,7.9,152
2,2,152,15.9,51,7.9,165
2.5,2.5,178,17.5,64,7.9,178
3,3,191,19,76,9.5,197
3.5,3.5,216,23.8,89,11.1,216
4,4,229,23.8,102,12.7,229
5,5,254,23.8,127,12.7,260
6,6,279,25.4,152,14.3,292
8,8,343,28.6,203,15.9,356
10,10,406,30.2,254,19,419
12,12,483,31.8,305,20.6,483
14,14,533,34.9,356,22.2,546
16,16,597,36.5,406,25.4,610
18,18,635,39.7,457,27,673
20,20,699,42.9,508,28.6,737
24,24,813,47.6,610,31.8,864
30,30,984,54,762,36.5,1054
36,36,1168,60.3,914,41.3,1245
42,42,1346,66.7,1067,46,1435
48,48,1511,69.9,1219,50.8,1626
