,ND##length##inches,FOD##length##millimeters,FThk##length##millimeters,RFD##length##millimeters
0.5,0.5,120,22.3,34.9
0.75,0.75,130,25.4,42.9
1,1,150,28.6,50.8
1.25,1.25,160,28.6,63.5
1.5,1.5,180,31.8,73
2,2,215,38.1,92.1
2.5,2.5,245,41.3,104.8
3,3,265,47.7,127
4,4,310,54,157.2
5,5,375,73.1,185.7
6,6,395,82.6,215.9
8,8,485,92.1,269.9
10,10,585,108,323.8
12,12,675,123.9,381
14,14,750,133.4,412.8
16,16,825,146.1,469.9
18,18,915,162,533.4
20,20,985,177.8,584.2
24,24,1170,203.2,692.2
