,ND1##length##millimeters,ND2##length##millimeters,CtE1##length##millimeters,CtE2##length##millimeters,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters
0.25x0.125,8,6,19.3,18.8,5.5,13.7,2.41,21.4
0.375x0.25,10,8,22.9,22.4,5.8,17.1,2.54,25.8
0.375x0.125,10,6,21.6,20.5,5.8,17.1,2.54,25.8
0.5x0.375,15,10,26.2,26.4,6.3,21.3,2.67,30.4
0.5x0.25,15,8,24.9,24.6,6.3,21.3,2.67,30.4
0.75x0.5,20,15,31,30.5,6.9,26.7,3.05,37
0.75x0.375,20,10,28.7,28.5,6.9,26.7,3.05,37
0.75x0.25,20,8,27.4,26.7,6.9,26.7,3.05,37
1x0.75,25,20,36.8,34.8,7.7,33.4,3.4,45
1x0.5,25,15,35.5,32,7.7,33.4,3.4,45
1x0.375,25,10,32.3,30,7.7,33.4,3.4,45
1.25x1,32,25,42.4,40.1,8.7,42.2,3.68,54.7
1.25x0.75,32,20,41.2,36.8,8.7,42.2,3.68,54.7
1.25x0.5,32,15,38.9,34,8.7,42.2,3.68,54.7
1.5x1.25,40,32,47.8,46.2,9.3,48.3,3.94,61.6
1.5x1,40,25,45.7,41.9,9.3,48.3,3.94,61.6
1.5x0.75,40,20,44.5,38.6,9.3,48.3,3.94,61.6
2x1.5,50,40,54.9,51.3,10.7,60.3,4.39,75.3
2x1.25,50,32,53.3,48.3,10.7,60.3,4.39,75.3
2x1,50,25,51.3,43.9,10.7,60.3,4.39,75.3
2x0.75,50,20,50,40.6,10.7,60.3,4.39,75.3
2.5x2,65,50,66,60.7,12.1,73,5.33,91.2
2.5x1.5,65,40,63.8,54.9,12.1,73,5.33,91.2
3x2.5,80,65,75.9,71.9,13.9,88.9,5.87,108.8
3x2,80,50,73.4,64,13.9,88.9,5.87,108.8
4x3,100,80,91.4,83.8,16.8,114.4,6.73,137.2
0.125x0.25,6,8,18.8,19.3,5.1,10.3,2.29,17.6
0.25x0.375,8,10,22.4,22.9,5.5,13.7,2.41,21.4
0.125x0.375,6,10,20.5,21.6,5.1,10.3,2.29,17.6
0.375x0.5,10,15,26.4,26.2,5.8,17.1,2.54,25.8
0.25x0.5,8,15,24.6,24.9,5.5,13.7,2.41,21.4
0.5x0.75,15,20,30.5,31,6.3,21.3,2.67,30.4
0.375x0.75,10,20,28.5,28.7,5.8,17.1,2.54,25.8
0.25x0.75,8,20,26.7,27.4,5.5,13.7,2.41,21.4
0.75x1,20,25,34.8,36.8,6.9,26.7,3.05,37
0.5x1,15,25,32,35.5,6.3,21.3,2.67,30.4
0.375x1,10,25,30,32.3,5.8,17.1,2.54,25.8
1x1.25,25,32,40.1,42.4,7.7,33.4,3.4,45
0.75x1.25,20,32,36.8,41.2,6.9,26.7,3.05,37
0.5x1.25,15,32,34,38.9,6.3,21.3,2.67,30.4
1.25x1.5,32,40,46.2,47.8,8.7,42.2,3.68,54.7
1x1.5,25,40,41.9,45.7,7.7,33.4,3.4,45
0.75x1.5,20,40,38.6,44.5,6.9,26.7,3.05,37
1.5x2,40,50,51.3,54.9,9.3,48.3,3.94,61.6
1.25x2,32,50,48.3,53.3,8.7,42.2,3.68,54.7
1x2,25,50,43.9,51.3,7.7,33.4,3.4,45
0.75x2,20,50,40.6,50,6.9,26.7,3.05,37
2x2.5,50,65,60.7,66,10.7,60.3,4.39,75.3
1.5x2.5,40,65,54.9,63.8,9.3,48.3,3.94,61.6
2.5x3,65,80,71.9,75.9,12.1,73,5.33,91.2
2x3,50,80,64,73.4,10.7,60.3,4.39,75.3
3x4,80,100,83.8,91.4,13.9,88.9,5.87,108.8
