,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters
10,10,90,14
15,15,95,14
20,20,105,16
25,25,115,16
32,32,140,18
40,40,150,18
50,50,165,20
65,65,185,20
80,80,200,22
100,100,220,24
125,125,250,26
150,150,285,26
200,200,340,30
250,250,405,32
300,300,460,32
350,350,520,36
400,400,580,38
450,450,640,40
500,500,715,42
600,600,840,48
700,700,910,54
800,800,1025,58
900,900,1125,62
1000,1000,1255,66
