,ND##length##inches,FDia##length##millimeters,FThk##length##millimeters,HDia##length##millimeters,Lgt##length##millimeters
4,4,229,19,135,33
5,5,254,19,164,37
6,6,279,19,192,40
8,8,343,19,246,45
10,10,406,22.2,303,49
12,12,483,25.4,357,56
14,14,533,28.6,391,57
16,16,597,28.6,445,64
18,18,645,31.8,498,68
20,20,698,31.8,552,78
24,24,813,34.9,560,83
30,30,984,38.1,755,99
36,36,1168,41.3,894,115
42,42,1346,44.5,1033,130
48,48,1511,50.8,1172,145
54,54,1683,57.2,1311,160
60,60,1854,57.2,1450,175
72,72,2197,63.5,1728,205
