,ND##length##inches,SED##length##inches,SDpt##length##inches,WThk##length##inches,FOD##length##inches,CtSB##length##inches
1.5,1.5,1.915,0.687,0.156,1.9,1.1875
2,2,2.39,0.75,0.156,2.375,1.5
3,3,3.52,1.5,0.219,3.5,1.875
4,4,4.52,1.75,0.25,4.5,2.5
