,ND##length##millimeters,FOD##length##millimeters,FThk##length##millimeters,FHgt##length##millimeters,FND##length##millimeters
10,10,75,12,20,25
15,15,80,12,20,30
20,20,90,14,24,40
25,25,100,14,24,50
32,32,120,16,26,60
40,40,130,16,26,70
50,50,140,16,28,80
65,65,160,16,32,100
80,80,190,18,34,110
100,100,210,18,40,130
125,125,240,18,44,160
150,150,265,20,44,185
200,200,320,22,44,240
250,250,375,24,44,295
300,300,440,24,44,355
