,ND##length##millimeters,POD##length##inches,SOD##length##inches,SWid##length##inches,CRad##length##inches,CEL1##length##inches,CEL2##length##inches,CEL3##length##inches
3,80,3.5,4.116,1.875,4.0625,1.5,1.5,1.5
4,100,4.5,5.192,2.25,4.9375,1.75,1.75,1.75
