,ND##length##millimeters,FOD##length##millimeters,FThk##length##millimeters,HDia##length##millimeters,LTH##length##millimeters,RFD##length##millimeters
0.5,15,120,22.3,38,32,34.9
0.75,20,130,25.4,44,35,42.9
1,25,150,28.6,52,41,50.8
1.25,32,160,28.6,64,41,63.5
1.5,40,180,31.8,70,44,73
2,50,215,38.1,105,57,92.1
2.5,65,245,41.3,124,64,104.8
