,ND##length##inches,SED##length##inches,SDpt##length##inches,WThk##length##inches,FOD##length##inches,CtSB##length##inches
1.5,1.5,1.915,0.687,0.156,1.9,2.7500
2,2,2.39,0.75,0.156,2.375,3.2500
3,3,3.52,1.5,0.219,3.5,4.0625
4,4,4.52,1.75,0.25,4.5,4.9375
6,6,6.647,3,0.281,6.625,9.0000
