,ND##length##inches,FOD1##length##inches,FOD2##length##inches,Lgt##length##inches
0.125,0.125,1,0.625,0.75
0.25,0.25,1,0.625,0.75
0.375,0.375,1.25,0.75,0.8125
0.5,0.5,1.40625,0.9375,1
0.75,0.75,1.71875,1.15625,1.0625
1,1,2,1.4375,1.3125
1.25,1.25,2.5625,1.75,1.3125
1.5,1.5,2.84375,2,1.375
2,2,3.46875,2.5625,1.5
2.5,2.5,4.0625,3,1.8125
3,3,4.8125,3.6875,2
3.5,3.5,5.21875,4,2.125
4,4,5.96875,4.75,2.25
5,5,7.3125,5.5625,2.625
6,6,8.625,6.6875,2.75
