,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters
25,25,110,11
32,32,120,13
40,40,130,14.5
50,50,155,16
65,65,180,17.5
80,80,190,19
100,100,230,24
125,125,255,24
150,150,280,25.5
200,200,345,28.5
250,250,405,30
300,300,485,32
350,350,535,35
400,400,600,36.5
450,450,635,39.5
500,500,700,43
600,600,815,48
