,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters
40,40,150,19
50,50,165,19
65,65,185,19
80,80,200,19
100,100,220,19
125,125,250,19
150,150,285,19
200,200,340,20
250,250,405,22
300,300,460,24.5
350,350,520,26.5
400,400,580,28
450,450,640,30
500,500,715,31.5
600,600,840,36
700,700,910,39.5
800,800,1025,43
900,900,1125,46.5
1000,1000,1255,50
1200,1200,1485,57
1400,1400,1685,60
1600,1600,1930,65
1800,1800,2130,70
2000,2000,2345,75
