,ND1##length##millimeters,ND2##length##millimeters,CtSB1##length##inches,CtSB2##length##inches,SED##length##inches,SDpt##length##inches,WThk##length##inches,FOD##length##inches
3x4,80,100,3.375,3,3.52,1.5,0.219,3.5
4x3,100,80,3,3.375,4.52,1.75,0.25,4.5
