,Nominal Size 0##length##inches,Nominal Size 1##length##inches,N##length##inches
2 x 1 1/2,2,1.5,0.531
1 1 /2 x 2,1.5,2,0.531
3 x 2,3,2,0.875
2 x 3,2,3,0.875
4 x 3,4,3,0.938
3 x 4,3,4,0.938
4 x 2,4,2,1.375
2 x 4,2,4,1.375
6 x 4,6,4,2.392
4 x 6,4,6,2.392
8 x 6,8,6,1.483
6 x 8,6,8,1.483
8 x 10,8,10,1.692
10 x 8,10,8,1.692
8 x 12,8,12,2.692
12 x 8,12,8,2.692
10 x 12,10,12,1.715
12 x 10,12,10,1.715
