,ND1##length##millimeters,ND2##length##millimeters,ND3##length##millimeters,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters,CtE1##length##millimeters,CtE2##length##millimeters,CtE3##length##millimeters
2x1.5x2,50,40,50,10.7,60.3,4.39,75.3,57.2,54.8,57.2
2x1.5x1.5,50,40,40,10.7,60.3,4.39,75.3,51.3,49.3,54.9
2x1.5x1.25,50,40,32,10.7,60.3,4.39,75.3,48.3,46.2,53.3
2x1.5x1,50,40,25,10.7,60.3,4.39,75.3,43.9,41.9,51.3
2x1.25x2,50,32,50,10.7,60.3,4.39,75.3,57.2,53.3,57.2
2x1.25x1.5,50,32,40,10.7,60.3,4.39,75.3,51.3,47.8,54.9
2x1.25x1.25,50,32,32,10.7,60.3,4.39,75.3,48.3,44.5,53.3
2x1x2,50,25,50,10.7,60.3,4.39,75.3,57.2,51.3,57.2
2x1x1.5,50,25,40,10.7,60.3,4.39,75.3,51.3,45.7,54.9
2x0.75x2,50,20,50,10.7,60.3,4.39,75.3,57.2,50,57.2
2x0.5x2,50,15,50,10.7,60.3,4.39,75.3,57.2,47.8,57.2
1.5x1.5x2,40,40,50,9.3,48.3,3.94,61.6,54.9,54.9,51.3
1.25x1.25x2,32,32,50,8.7,42.2,3.68,54.7,53.3,58.3,48.3
1x1x2,25,25,50,7.7,33.4,3.4,45,51.3,51.3,48.9
2.5x2.5x2,65,65,50,12.1,73,5.33,91.2,60.7,60.7,66
2.5x2.5x1.5,65,65,40,12.1,73,5.33,91.2,54.9,54.9,63.8
2.5x2.5x1.25,65,65,32,12.1,73,5.33,91.2,51.8,51.8,62.2
2.5x2.5x1,65,65,25,12.1,73,5.33,91.2,47.5,47.5,60.2
2.5x2.5x0.75,65,65,20,12.1,73,5.33,91.2,44.2,44.2,58.9
2.5x2x2.5,65,50,65,12.1,73,5.33,91.2,68.6,66,68.6
2.5x2x2,65,50,50,12.1,73,5.33,91.2,60.7,57.2,66
2.5x0.5x2.5,65,15,65,12.1,73,5.33,91.2,68.6,63.8,68.6
2.5x0.5x2,65,15,50,12.1,73,5.33,91.2,60.7,54.9,66
2x2x2.5,50,50,65,10.7,60.3,4.39,75.3,66,66,60.7
3x3x2.5,80,80,65,13.9,88.9,5.87,108.8,71.9,71.9,76
3x3x2,80,80,50,13.9,88.9,5.87,108.8,64,64,73.4
3x3x1.5,80,80,40,13.9,88.9,5.87,108.8,58.2,58.2,71.1
3x3x1.25,80,80,32,13.9,88.9,5.87,108.8,55.1,55.1,69.6
3x3x1,80,80,25,13.9,88.9,5.87,108.8,50.8,50.8,67.6
3x3x0.75,80,80,20,13.9,88.9,5.87,108.8,47.5,47.5,66.3
3x2.5x3,80,65,32,13.9,88.9,5.87,108.8,78.2,76,78.2
3x2.5x2.5,80,65,65,13.9,88.9,5.87,108.8,71.9,68.6,76
3x2.5x2,80,65,50,13.9,88.9,5.87,108.8,64,60.7,73.4
3x2x3,80,50,80,13.9,88.9,5.87,108.8,78.2,73.4,78.2
3x2x2,80,50,50,13.9,88.9,5.87,108.8,64,57.2,73.4
2.5x2.5x3,65,65,80,12.1,73,5.33,91.2,76,76,71.9
3.5x3.5x2.5,90,90,65,15.3,101.6,6.3,123,74.4,74.4,82.3
4x4x3,100,100,80,16.8,114.4,6.73,137.2,83.8,83.8,91.4
4x4x2.5,100,100,65,16.8,114.4,6.73,137.2,77.5,77.5,89.2
4x4x2,100,100,50,16.8,114.4,6.73,137.2,69.6,69.6,86.6
4x4x1.5,100,100,40,16.8,114.4,6.73,137.2,63.8,63.8,84.3
4x3x4,100,80,100,16.8,114.4,6.73,137.2,96.3,91.4,96.3
3x3x4,80,80,100,13.9,88.9,5.87,108.8,91.4,91.4,83.8
5x5x3,125,125,80,19.8,141.3,7.62,167.2,89.2,89.2,107.2
6x6x4,150,150,100,22.9,168.3,8.53,197.3,104.9,104.9,125.5
6x6x3,150,150,80,22.9,168.3,8.53,197.3,92.5,92.5,120.7
6x6x2.5,150,150,65,22.9,168.3,8.53,197.3,86.1,86.1,118.4
