,ND1##length##inches,ND2##length##inches,FOD##length##inches,POD1##length##inches,POD2##length##inches,FWid##length##inches,TWid##length##inches,SWid##length##inches
3.00 x 4.00,3,4,7,3.5,4.5,0.44,1,1.875
4.00 x4.00,4,4,7,4.5,4.5,0.44,1.5,2.25
