,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters
10,10,90,16
15,15,95,16
20,20,105,18
25,25,115,18
32,32,140,20
40,40,150,20
50,50,165,22
65,65,185,24
80,80,200,26
100,100,235,28
125,125,270,30
150,150,300,34
200,200,360,34
250,250,425,36
300,300,485,40
350,350,555,44
400,400,620,48
450,450,670,50
500,500,730,52
600,600,845,56
