,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters,RFD##length##millimeters,RFT##length##millimeters
10,10,90,14,41,2
15,15,95,14,46,2
20,20,105,16,56,2
25,25,115,16,65,2
32,32,140,18,76,2
40,40,150,18,84,2
50,50,165,20,99,2
65,65,185,20,118,2
80,80,200,20,132,2
100,100,220,22,156,2
125,125,250,22,184,2
150,150,285,24,211,2
200,200,340,24,266,2
250,250,405,26,319,2
300,300,460,28,370,2
350,350,520,30,429,2
400,400,580,32,480,2
450,450,640,40,548,2
500,500,715,44,609,2
600,600,840,54,720,2
700,700,910,40,794,5
800,800,1025,42,901,5
900,900,1125,44,1001,5
1000,1000,1255,46,1112,5
1200,1200,1485,52,1328,5
1400,1400,1685,58,1530,5
1600,1600,1930,64,1750,5
1800,1800,2130,68,1950,5
2000,2000,2345,70,2150,5
