,ND##length##millimeters,FOD##length##millimeters,FThk##length##millimeters,RFD##length##millimeters
10,10,75,12,33
15,15,80,12,38
20,20,90,14,48
25,25,100,14,58
32,32,120,16,69
40,40,130,16,78
50,50,140,16,88
65,65,160,16,108
80,80,190,18,124
100,100,210,18,144
125,125,240,20,174
150,150,265,20,199
200,200,320,22,254
250,250,375,24,309
300,300,440,24,363
350,350,490,24,413
400,400,540,24,463
450,450,595,24,518
500,500,645,26,568
600,600,755,30,667
700,700,860,40,772
800,800,975,44,878
900,900,1075,48,978
1000,1000,1175,52,1078
1200,1200,1405,60,1295
1400,1400,1630,68,1510
1600,1600,1830,76,1710
1800,1800,2045,84,1918
2000,2000,2265,92,2125
