,ND##length##millimeters,FOD##length##millimeters,FThk##length##millimeters,RFD##length##millimeters
0.5,15,95,12.7,34.9
0.75,20,115,14.3,42.9
1,25,125,15.9,50.8
1.25,32,135,17.5,63.5
1.5,40,155,19.1,73
2,50,165,20.7,92.1
2.5,65,190,23.9,104.8
3,80,210,27,127
3.5,90,230,28.6,139.7
4,100,255,30.2,157.2
5,125,280,33.4,185.7
6,150,320,35,215.9
8,200,380,39.7,269.9
10,250,445,46.1,323.8
12,300,520,49.3,381
14,350,585,52.4,412.8
16,400,650,55.6,469.9
18,450,710,58.8,533.4
20,500,775,62,584.2
24,600,915,68.3,692.2
