,ND##length##millimeters,Ang##angle##degrees,NOD##length##millimeters,SOD##length##millimeters,SWid##length##millimeters,CtE##length##millimeters
15,15,90,20,27,15,28
20,20,90,25,33.5,17,32
25,25,90,32,42,19,38
32,32,90,40,51.5,21,44
40,40,90,50,63.5,24,52
50,50,90,63,79,28,63
15,15,45,20,27,15,21
20,20,45,25,33.5,17,24
25,25,45,32,42,19,27.5
32,32,45,40,51.5,21,31.5
40,40,45,50,63.5,24,37
50,50,45,63,79,28,44
