,ND##length##millimeters,FOD##length##millimeters,CtE##length##millimeters
1,25,33.4,25
1.25,32,42.2,32
1.5,40,48.3,38
2,50,60.3,51
2.5,65,73,64
3,80,88.9,76
3.5,90,101.6,89
4,100,114.3,102
5,125,141.3,127
6,150,168.3,152
8,200,219.1,203
10,250,273,254
12,300,323.8,305
14,350,355.6,356
16,400,406.4,406
18,450,457,457
20,500,508,508
22,550,559,559
24,600,610,610
