,ND##length##millimeters,FOD##length##millimeters,FThk##length##millimeters,FHgt##length##millimeters,FND##length##millimeters,RFD##length##millimeters
10,10,90,14,22,30,41
15,15,95,14,22,35,46
20,20,105,16,26,45,56
25,25,115,16,28,52,65
32,32,140,18,30,60,76
40,40,150,18,32,70,84
50,50,165,20,34,84,99
65,65,185,20,32,104,118
80,80,200,20,34,118,132
100,100,220,22,40,140,156
125,125,250,22,44,168,184
150,150,285,24,44,195,211
200,200,340,24,44,246,266
250,250,395,26,46,298,319
300,300,445,26,46,350,370
350,350,505,26,53,412,429
400,400,565,26,57,475,480
450,450,615,28,63,525,530
500,500,670,28,67,581,582
600,600,780,34,75,678,682
