,ND1##length##inches,ND2##length##inches,CtE1##length##millimeters,CtE2##length##millimeters,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters
0.5x0.375,0.5,0.375,30.2,30.2,12.7,21.3,4.1,34
0.75x0.5,0.75,0.5,35.1,33.3,14.2,26.7,4.6,41.4
1x0.75,1,0.75,39.6,38.1,15.8,33.4,5.1,49.5
1.25x1,1.25,1,46,44.5,17.5,42.2,5.6,60.7
1.5x1.25,1.5,1.25,52.3,50.8,19.1,48.3,6.1,68.1
2x1.5,2,1.5,60.5,57.2,21.3,60.3,6.6,83.3
2.5x2,2.5,2,69.9,68.3,23.9,73,7.9,98
3x2.5,3,2,84.1,77.7,25.4,88.9,8.9,117.3
0.375x0.5,0.375,0.5,30.2,30.2,11.2,17.1,3.8,28.5
0.5x0.75,0.5,0.75,33.3,35.1,12.7,21.3,4.1,34
0.75x1,0.75,1,38.1,39.6,14.2,26.7,4.6,41.4
1x1.25,1,1.25,44.5,46,15.8,33.4,5.1,49.5
1.25x1.5,1.25,1.5,50.8,52.3,17.5,42.2,5.6,60.7
1.5x2,1.5,2,57.2,60.5,19.1,48.3,6.1,68.1
2x2.5,2,2.5,68.3,69.9,21.3,60.3,6.6,83.3
2.5x3,2.5,3,77.7,84.1,23.9,73,7.9,98
