,ND1##length##inches,ND2##length##inches,CtSB1##length##inches,CtSB2##length##inches,SED##length##inches,SDpt##length##inches,WThk##length##inches,FOD##length##inches
3X4,3,4,3.375,3,3.52,1.5,0.219,3.5
4x3,4,3,3,3.375,4.52,1.75,0.25,4.5
