,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters
10,10,90,14
15,15,95,14
20,20,105,16
25,25,115,16
32,32,140,18
40,40,150,18
50,50,165,20
65,65,185,22
80,80,200,24
100,100,235,24
125,125,270,26
150,150,300,28
200,200,360,30
250,250,425,32
300,300,485,34
350,350,555,38
400,400,620,40
450,450,670,46
500,500,730,48
600,600,845,58
700,700,960,50
800,800,1085,54
900,900,1185,58
1000,1000,1320,62
1200,1200,1530,70
1400,1400,1755,76
1600,1600,1975,84
1800,1800,2195,90
2000,2000,2425,96
