,ND##length##inches,POD##length##inches,CRad##length##inches,SOD##length##inches,SWid##length##inches
1.25,1.25,1.66,4.5,2.052,1.25
1.5,1.5,1.9,5.5,2.312,1.375
2,2,2.375,6.5,2.823,1.5
3,3,3.5,8.125,4.116,1.875
4,4,4.5,9.875,5.192,2.25
6,6,6.625,18,7.511,3
