,ND1##length##inches,ND2##length##inches,ND3##length##inches,SED##length##inches,SDpt##length##inches,WThk##length##inches,FOD##length##inches,SBtSBR##length##inches,CtSBR##length##inches,CtSBB##length##inches
2x1.5x1.5,2,1.5,1.5,2.39,0.75,0.156,2.375,2.375,1.1875,1.5
2x2x1.5,2,2,1.5,2.39,0.75,0.156,2.375,2.375,1.1875,1.5
3x3x1.5,3,3,1.5,3.52,1.5,0.219,3.5,2.375,1.1875,1.875
3x3x2,3,3,2,3.52,1.5,0.219,3.5,3,1.5,1.875
1.5,1.5,-1,-1,1.915,0.687,0.156,1.9,-1,-1,-1
