,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters,RFD##length##millimeters,RFT##length##millimeters
10,10,90,14,41,2
15,15,95,14,46,2
20,20,105,16,56,2
25,25,115,16,65,3
32,32,140,18,76,3
40,40,150,18,84,3
50,50,165,20,99,3
65,65,185,20,118,3
80,80,200,22,132,3
100,100,220,24,156,3
125,125,250,26,184,3
150,150,285,26,211,3
200,200,340,30,266,3
250,250,405,32,319,3
300,300,460,32,370,4
350,350,520,36,429,4
400,400,580,38,480,4
450,450,640,40,548,4
500,500,715,42,609,4
600,600,840,48,720,5
700,700,910,54,794,5
800,800,1025,58,901,5
900,900,1125,62,1001,5
1000,1000,1255,66,1112,5
