,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters,RFD##length##millimeters,RFT##length##millimeters
25,25,110,11,51,2
32,32,120,13,64,2
40,40,130,14.5,73,2
50,50,155,16,92,2
65,65,180,17.5,105,2
80,80,190,19,127,2
100,100,230,24,157,2
125,125,255,24,186,2
150,150,280,25.5,216,2
200,200,345,28.5,270,2
250,250,405,30,324,2
300,300,485,32,381,2
350,350,535,35,413,2
400,400,600,36.5,470,2
450,450,635,39.5,533,2
500,500,700,43,584,2
600,600,815,48,692,2
