,ND##length##inches,SED##length##inches,SDpt##length##inches,WThk##length##inches,FOD##length##inches,SBtSBR##length##inches,CtSBR##length##inches,CtSBB##length##inches
1.5,1.5,1.915,0.687,0.156,1.9,4.000,1.125,2.875
2,2,2.39,0.75,0.156,2.375,5.000,1.375,3.625
3,3,3.52,1.5,0.219,3.5,6.625,1.625,5.000
4,4,4.52,1.75,0.25,4.5,8.250,1.875,6.375
6,6,6.647,3,0.281,6.625,10.188,1.750,8.438
